id,name
40537,INACID 25 mg CAPSULAS DURAS
7235,PASSIFLORINE SOLUCION ORAL
18329,TIOBARBITAL BRAUN 1 G
33561,DIHYDERGOT COMPRIMIDOS
34369,GLUCOSADA GRIFOLS 5% SOLUCION PARA PERFUSION
38334,ARTANE 2 mg
44099,"OCTOCAINE 20 MG/ML + 0,01 MG/ML SOLUCIÓN INYECTABLE"
44396,FARINGESIC 5 mg/5 mg COMPRIMIDOS PARA CHUPAR SABOR MENTA
45046,"COLIRCUSI ATROPINA 0,5%"
40886,ALERGICAL JARABE
41167,WINSTROL COMPRIMIDOS
41346,MERBROMINA SERRA
41723,INACID 100 mg SUPOSITORIOS
42454,MOVILAT 2 mg/g + 20 mg/g pomada
42582,ARTRINOVO CAPSULAS
43318,PRESCAINA LLORENS COLIRIO
46948,WINSTROL DEPOT
47342,ANGILEPTOL COMPRIMIDOS PARA CHUPAR SABOR MENTA
45647,SUPOSITORIOS DE GLICERINA DR. TORRENTS ADULTOS
46015,FREEFLEX GLUCOSA 10% INYECTABLE
73054,ROPIVACAINA KABI 2MG/ML SOLUCION INYECTABLE EFG
46544,OTOGEN CALMANTE
51085,CRESOPHENE SOLUCION GOTAS ODONTOLOGICAS
51533,NUCLEO CMP FORTE CAPSULAS
48325,BRITAPEN 1 g POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE
48625,"CONDUCTASA 153,4 mg CAPSULAS DURAS"
48989,"CALCIO 20 FUERTE, EMULSION"
49187,SAL DE FRUTA ENO POLVO EFERVESCENTE
50226,ROBERFARIN AEROSOL
54670,GENTAMICINA BRAUN 40 mg
80311,PREGABALINA ARISTO 200 MG CAPSULAS DURAS EFG
57942,DIAFUSOR 5 mg/24 H. PARCHES TRANSDERMICOS
52549,DICORYNAN 100 mg CAPSULAS DURAS
54043,SARGISTHENE 1 g SOLUCION ORAL
80307,PREGABALINA ARISTO 50 MG CAPSULAS DURAS EFG
57192,JUSTEGAS 1.871 mg/1.398 mg GRANULADO EFERVESCENTE
57235,SOLGOL 80 mg COMPRIMIDOS
57632,KALTEN
55596,COLESTID 5 g GRANULADO PARA SUSPENSION ORAL
55958,REGENDER 120 mg CAPSULAS DURAS.
60218,"CUTIVATE 0,5 mg/g CREMA"
61130,RANITIDINA MABO 150 mg COMPRIMIDOS RECUBIERTOS EFG
61134,CRONODINE 240 mg CAPSULAS DE LIBERACION PROLONGADA
60375,ADENOCOR 6 mg/2 ml SOLUCION INYECTABLE
57685,KETOISDIN 400 mg OVULOS
57750,VIRAZOLE 6 G
80316,RASAGILINA CINFAMED 1 MG COMPRIMIDOS EFG
63188,LEXXEMA 1 mg/g UNGÜENTO
63265,ZYNTABAC 150 mg COMPRIMIDOS DE LIBERACION PROLONGADA
63277,FLUVOXAMINA SANDOZ 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
63290,SELEGILINA DAVUR 5 mg COMPRIMIDOS EFG
63341,ALPRAZOLAM MABO 1 mg COMPRIMIDOS EFG
78709,VALGANCICLOVIR TEVA 450 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
63431,METAMIZOL NORMON 575 mg CAPSULAS EFG
61865,TESTEX PROLONGATUM 100 mg/2 ml SOLUCION INYECTABLE
80313,PREGABALINA ARISTO 300 MG CAPSULAS DURAS EFG
80305,EZETIMIBA CINFA 10 MG COMPRIMIDOS EFG
62728,MIFEGYNE 200 mg COMPRIMIDOS
62832,ALFUZOSINA ZENTIVA 5 mg COMPRIMIDOS DE LIBERACION PROLONGADA EFG
62874,"VERRUPLAN 10,35 mg APOSITOS IMPREGNADOS"
62930,PROGANDOL NEO 8 mg COMPRIMIDOS DE LIBERACION MODIFICADA
62938,PROPOFOL HOSPIRA 10 mg/ml EMULSION PARA INYECCION Y PERFUSION EFG
63114,TAVONIN 40 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
63170,CARBOPLATINO SANDOZ 50 mg/5 ml SOLUCION PARA PERFUSION EFG
63857,GAMMA ANTI-TETANOS GRIFOLS 250 U.I. SOLUCION INYECTABLE EN JERINGA PRECARGADA
63903,LORATADINA EDIGEN 10 mg COMPRIMIDOS EFG
63925,ANASMA 25 microgramos/250 microgramos SUSPENSION PARA INHALACION EN ENVASE A PRESION
64123,RELERT 40 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
64138,BEL LABIAL 50 mg/g CREMA
63997,AMISULPRIDA ZENTIVA 100 mg COMPRIMIDOS EFG
64052,PERME-CURE 5% CREMA
63530,ZOVICREM LABIAL 50 mg/g CREMA
63546,"FOSFATO DIPOTASICO 1M FRESENIUS KABI 174,2 MG/ML SOLUCION INYECTABLE"
80027,LINEZOLID SANDOZ 2 MG/ML SOLUCION PARA PERFUSION EFG
63637,CLOXACILINA NORMON 500 mg POLVO PARA SOLUCION INYECTABLE EFG
80068,BUPRENORFINA ANDROMACO 35 MICROGRAMOS/HORA PARCHE TRANSDERMICO EFG
63696,LORATADINA CINFA 10 mg COMPRIMIDOS EFG
63763,GEMFIBROZILO SANDOZ 600 mg COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG
78613,TEICOPLANINA ACCORD 200 MG POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG
64813,DEFLAZACORT ALTER 6 mg COMPRIMIDOS EFG
28410,DULCOLAXO BISACODILO 5 mg COMPRIMIDOS GASTRORRESISTENTES
64877,ALPRAZOLAM ARISTO 1 mg COMPRIMIDOS EFG
78895,ALFUZOSINA AUROBINDO 10 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG
64943,LABILENO 100 mg COMPRIMIDOS MASTICABLES/DISPERSABLES
64212,ZIDOVUDINA ACCORD 300 mg COMPRIMIDOS EFG
64269,SIMVASTATINA TEVA-RIMAFAR 10 mg COMPRIMIDOS RECUBIERTOS EFG
64293,PENTAMIDINA ACCORD 300 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG
64342,BILIFALK 250 mg CAPSULAS DURAS
64360,OLICLINOMEL N6-900E EMULSION PARA PERFUSION
64430,"ALPRAZOLAM TARBIS 1 mg, COMPRIMIDOS EFG"
64535,PERFALGAN 10mg/ml SOLUCION PARA PERFUSION
64615,FLUCONAZOL SANDOZ 200 MG CÁPSULAS DURAS EFG
64623,FLUCONAZOL MYLAN 200 mg CAPSULAS DURAS EFG
64658,"ACEOTO PLUS 3 mg/ml + 0,25 mg/ml GOTAS ÓTICAS EN SOLUCIÓN"
19625,DARAPRIM 25 mg COMPRIMIDOS
57329,TIENAM 500 mg/500 mg POLVO PARA SOLUCION PARA PERFUSION
25908,"POMADA OCULOS EPITELIZANTE 3 mg/g + 5,5 mg/g + 5mg/g POMADA OFTALMICA"
65101,NEBILET 5 mg COMPRIMIDOS
328.305.6,NITRODERM TTS PARCHE TRANSDERMICO
17128,METASEDIN INYECTABLE
3417516,REVIA COMPRIMIDOS RECUBIERTOS
33185,"TEDIPULMO 1,5 mg/5 ml SOLUCION"
35090,CARENA 5 mg/g + 270 mg/g POMADA
37809,HUBERPLEX 25 mg
54860,"MENADERM OTOLOGICO 0,25 mg/10 mg/ml gotas oticas en solucion"
55730,DURACEF 500 mg
56110,CERVOXAN CAPSULAS
56129,FLURPAX 5 mg CAPSULAS DURAS
51941,SILARINE 80 mg cápsulas duras
52230,INDONILO SUPOSITORIOS
52806,EFFERALGAN 500 mg CAPSULAS
53191,FLUODERMO FUERTE
53598,STUGERON GOTAS 7.50 g/100 ml
53892,NIXYN HERMES 200 mg SUPOSITORIOS INFANTILES
56911,CLARAL FUERTE 3 mg/g POMADA
57954,PROZAC 20 mg CAPSULAS DURAS
57130,PARACETAMOL GELOS 500 mg COMPRIMIDOS
58356,INACID RETARD 75 mg CAPSULAS DURAS DE LIBERACIÓN PROLONGADA
58731,"METRONIDAZOL CEPA 0,5 % INYECTABLE"
57896,CRECIL 500 mg CAPSULAS DURAS
56321,NERDIPINA 20 MG COMPRIMIDOS RECUBIERTOS
56430,DEXIDE 500 mg CAPSULAS
79750,"DUTASTERIDA VIR 0,5 MG CAPSULAS BLANDAS EFG"
56741,"XILONIBSA 10 mg/pulsación, solución para pulverización cutánea"
56990,FUNGOWAS SOLUCION DERMATOLOGICA
57463,DIPROSALIC POMADA
56434,TINTURA DE IODO PEREZ GIMENEZ SOLUCION
59021,FML FORTE
59748,CANESMYCOSPOR ONICOSET 10mg/ g + 400mg/g POMADA
61128,LOMEXIN CREMA
58478,LEVELINA 10 mg/ml SOLUCION PARA PULVERIZACION CUTANEA
8505004,INTANZA 15 microgramos/CEPA SUSPENSION INYECTABLE
79754,ARIPIPRAZOL APOTEX AG 30 MG COMPRIMIDOS EFG
59130,LINCIL 30 mg COMPRIMIDOS
58372,FLOGOTER RETARD 75 mg CAPSULAS
58062,LACRILUBE POMADA
58266,CYMEVENE 500 mg POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION
58852,"SUNIDERMA 1,27 mg/g POMADA"
62802,AMOXICILINA/ACIDO CLAVULANICO SANDOZ 500 mg/125 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
62595,CEFOTAXIMA TORLAN 1000 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE IM EFG
66249,CITALOPRAM MABO 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
66982,MIRTAZAPINA ALTER 15 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
98096016,TEMODAL 100 mg CAPSULAS DURAS
8444002,"RATIOGRASTIM 30 MU/0,5 ml SOLUCION PARA INYECCION O PERFUSION"
8448001,MYCAMINE 50 mg POLVO PARA SOLUCION PARA PERFUSION
67019,CETIRIZINA SANDOZ 10 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG
76011,MONTELUKAST AMNEAL 5 MG COMPRIMIDOS MASTICABLES EFG
67271,CETIRIZINA TEVA 1 mg/ml SOLUCION ORAL EFG
67060,GLIMEPIRIDA ZENTIVA 2 mg COMPRIMIDOS EFG
66963,"OXIGENO MEDICINAL LIQUIDO CONTSE 99,5% v/v, GAS CRIOGENICO MEDICINAL"
365 516-7IP,VESICARE 10mg comprimidos recubiertos con pelicula
67671,DEXAFREE 1 MG/ML COLIRIO EN SOLUCION EN ENVASE UNIDOSIS
67605,ALFUZOSINA STADA 10 mg COMPRIMIDOS DE LIBERACION PROLONGADA EFG
8448002,MYCAMINE 100 mg POLVO PARA SOLUCION PARA PERFUSION
96004002,FARESTON 60 mg COMPRIMIDOS
96009006,ZERIT 30 mg CAPSULA DURA
97030084,INSUMAN COMB 50 100 UI/ml SUSPENSION INYECTABLE EN PLUMA PRECARGADA
97031022,NEORECORMON 10000 UI LIOFILIZADO Y DISOLVENTE PARA SOLUCION INY. EN CARTUCHO (10.000 UI/ml)
60303,NEOTIGASON 10 mg CAPSULAS
60876,MICETAL 10 mg/g GEL
60963,FLUSPORAN SOLUCION DERMICA
98073001,EVISTA 60 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
62737,ACICLOVIR KERN PHARMA 800 mg COMPRIMIDOS DISPERSABLES EFG
99103004,"REFACTO AF 2000 UI, POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE"
58552,EXTRAPLUS 25 mg/g GEL
58853,PUNTUALEX SOLUCION
58854,LODERM GEL
61291,ISOVORIN 5 mg COMPRIMIDOS
6380002,PREZISTA 600 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
7382015,XELEVIA 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
66606,CETIRIZINA PENSA 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
65872,CARVEDILOL KERN PHARMA 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
66101,YODUK 200 microgramos COMPRIMIDOS
59370,"OSTRAM 1,2 G"
59542,CUVEFILM SOLUCION TOPICA
61556,"TAMOXIFENO RATIOPHARM 20 mg, COMPRIMIDOS EFG"
62203,"GENTAMICINA NORMON 80 mg/ 80 ml, solucion para perfusion EFG"
7395014,INVEGA 9 mg COMPRIMIDOS DE LIBERACION PROLONGADA
7400021,"MIRCERA 360 microgramos/0,6 ml SOLUCION INYECTABLE EN JERINGA PRECARGADA"
7405003,RASILEZ 150 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
66599,RISPERIDONA RATIOPHARM 6 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
60057,CLORURO POTASICO 1M GRIFOLS
60999,ELICA SOLUCION
60898,CINFATOS EXPECTORANTE 2 mg/ml + 20 mg/ml SOLUCION ORAL
65773,ITRACONAZOL CINFA 100 mg CAPSULAS EFG
67686,PRAVASTATINA MABO 40 mg COMPRIMIDOS EFG
79600,SEVOFLURANO CADIASUN 100% LIQUIDO PARA INHALACION DEL VAPOR EFG
59316,PEROXACNE 100 mg/g GEL
61308,VERRUPATCH 6 MM
61930,SULAR 20 MG
62093,BETADINE MONODOSIS 1g SOLUCION
65404,OMEPRAZOL GENERICOS JUVENTUS 20 mg CAPSULAS DURAS GASTRORRESISTENTES EFG
7410004,"BINOCRIT, 2000 UI/1 ml, SOLUCION INYECTABLE EN UNA JERINGA PRECARGADA"
66416,DILTIX 47 mg/ml SOLUCION PARA PULVERIZACION CUTANEA
65193,SIMVASTATINA VIR 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
62265,CORDIPLAST 15 mg/24 h PARCHES TRANSDERMICOS
62446,ATENOLOL ALTER 50 mg COMPRIMIDOS EFG
65856,CEFIXIMA SANDOZ 400 MG CAPSULAS DURAS EFG
79201,IMIPENEM/CILASTATINA STRAVENCON 250 MG/250 MG POLVO PARA SOLUCION PARA PERFUSION
60028,CALMATEL 18 mg/g GEL
65247,TRIFLUSAL FARMALIDER 300 mg CAPSULAS DURAS EFG
60605,ISOGAINE 30 mg/ml SOLUCION INYECTABLE
61763,RANITIDINA TAMARANG 300 mg COMPRIMIDOS EFG
62034,"EMULIQUEN SIMPLE 7.173,9 mg EMULSION ORAL EN SOBRES"
65319,MIDAZOLAM SERRACLINICS 15mg/3ml SOLUCION INYECTABLE EFG
65553,AZITROMICINA BENEL 250 mg POLVO PARA SUSPENSION ORAL EN SOBRE EFG
79604,QUETIAPINA APOTEX 150 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG
66325,CINFAMUCOL ACETILCISTEINA 100 mg POLVO PARA SOLUCION ORAL
